index,value
1992 Oct,1360.3
1992 Nov,1413.2
1992 Dec,1422.5
1993 Jan,1472.3
1993 Feb,1536.7
1993 Mar,1472.3
1993 Apr,1261.9
1993 May,1159
1993 Jun,1228.5
1993 Jul,1287.5
1993 Aug,1305
1993 Sep,1219.7
1993 Oct,1108.7
1993 Nov,1100.3
1993 Dec,1156.4
1994 Jan,1208.4
1994 Feb,1261
1994 Mar,1284
1994 Apr,1268.1
1994 May,1430.5
1994 Jun,1549.9
1994 Jul,1589.5
1994 Aug,1560
1994 Sep,1601
1994 Oct,1586.2
1994 Nov,1763.6
1994 Dec,1914.4
1995 Jan,1910.5
1995 Feb,1830.3
1995 Mar,1826.8
1995 Apr,1805.7
1995 May,1745.9
1995 Jun,1876.8
1995 Jul,1927.4
1995 Aug,1936.6
1995 Sep,1870.3
1995 Oct,1782.7
1995 Nov,1904.8
1995 Dec,1898.7
1996 Jan,1708.7
1996 Feb,1650.2
1996 Mar,1676.5
1996 Apr,1713.5
1996 May,1757.3
1996 Jun,1407.7
1996 Jul,1276.6
1996 Aug,1294.9
1996 Sep,1244.3
1996 Oct,1236.2
1996 Nov,1343.7
1996 Dec,1366.9
1997 Jan,1469.2
1997 Feb,1480.3
1997 Mar,1506.4
1997 Apr,1466.8
1997 May,1540
1997 Jun,1588
1997 Jul,1466.7
1997 Aug,1403.6
1997 Sep,1315.4
1997 Oct,1256.4
1997 Nov,1135
1997 Dec,1061.5
1998 Jan,1032.1
1998 Feb,1014.4
1998 Mar,1051.4
1998 Apr,1078.1
1998 May,1057.8
1998 Jun,1005.6
1998 Jul,1004.2
1998 Aug,991.8
1998 Sep,979.1
1998 Oct,935.6
1998 Nov,946.9
1998 Dec,881.9
1999 Jan,866.7
1999 Feb,866.5
1999 Mar,849.6
1999 Apr,910.2
1999 May,935.6
1999 Jun,891.3
1999 Jul,1041.2
1999 Aug,1025.5
1999 Sep,1077.3
1999 Oct,1040.1
1999 Nov,1065.3
1999 Dec,1093.7
2000 Jan,1124.2
2000 Feb,1124.7
2000 Mar,1100.6
2000 Apr,1059.8
2000 May,1183.3
2000 Jun,1161.6
2000 Jul,1192.3
2000 Aug,1245.1
2000 Sep,1365.3
2000 Oct,1308.1
2000 Nov,1258.9
2000 Dec,1264.4
2001 Jan,1209.8
2001 Feb,1214.9
2001 Mar,1202.8
2001 Apr,1159.3
2001 May,1178.9
2001 Jun,1147.5
2001 Jul,1078.5
2001 Aug,1019
2001 Sep,974.4
2001 Oct,948.5
2001 Nov,994.2
2001 Dec,1020.8
2002 Jan,1049.9
2002 Feb,1097.4
2002 Mar,1127.9
2002 Apr,1101.4
2002 May,1092.9
2002 Jun,1110
2002 Jul,1022.2
2002 Aug,962.4
2002 Sep,950
2002 Oct,952.5
2002 Nov,1006.4
2002 Dec,1005.7
2003 Jan,1018.8
2003 Feb,1046.7
2003 Mar,1047.4
2003 Apr,1007.9
2003 May,1015.5
2003 Jun,1015.4
2003 Jul,1054
2003 Aug,1103.4
2003 Sep,1109.1
2003 Oct,1143.9
2003 Nov,1216
2003 Dec,1258.5
2004 Jan,1329
2004 Feb,1477.5
2004 Mar,1647.3
2004 Apr,1635.6
2004 May,1529.5
2004 Jun,1469.7
2004 Jul,1523.4
2004 Aug,1563.1
2004 Sep,1614.9
2004 Oct,1666.7
2004 Nov,1678.5
2004 Dec,1631.1
2005 Jan,1687.8
2005 Feb,1723.8
2005 Mar,1773
2005 Apr,1790
2005 May,1751.7
2005 Jun,1938
2005 Jul,2063.8
2005 Aug,2115.8
2005 Sep,2133.3
2005 Oct,2301.1
2005 Nov,2461.6
2005 Dec,2621.7
2006 Jan,2677.7
2006 Feb,2851.6
2006 Mar,2927.3
2006 Apr,3610.9
2006 May,4306
2006 Jun,3897.7
2006 Jul,4170.5
2006 Aug,4059.8
2006 Sep,4032.9
2006 Oct,3998.6
2006 Nov,3675.9
2006 Dec,3435.8
