"MCIW: VALUE OF RETAIL SALES BY COMMODITY AT CURRENT PRICES, NON-SEASONALLY ADJUSTED - Average Weekly Retail Sales in £thousands, Great Britain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Retails Sales Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates in this table have been produced by combining a breakdown of commodity sales from 54 large retailers with total sales from other retailers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The monthly periods consist of 4 weeks except for March, June, September and December which are 5 weeks. January 2014 and January 2020 are also 5 week periods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Weeks,Time Period,Total excluding fuel,"Food, drink and tobacco [Note 1]",Clothing and footwear,Household goods [Note 1],Other non-food [Note 1],Total Average Weekly Sales for All Retailing excluding automotive fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agg/SIC,Agg 21X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2016FEB,"6,017,323","2,531,328","915,616","1,202,651","1,367,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2016MAR,"6,231,011","2,608,115","997,593","1,178,329","1,446,974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2016APR,"6,336,920","2,571,214","1,056,456","1,183,035","1,526,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2016MAY,"6,548,579","2,656,261","1,151,044","1,183,785","1,557,489",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2016JUN,"6,479,651","2,638,021","1,161,652","1,156,882","1,523,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2016JUL,"6,665,821","2,649,087","1,209,708","1,217,709","1,589,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2016AUG,"6,442,278","2,620,616","1,142,575","1,172,756","1,506,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2016SEP,"6,496,850","2,586,577","1,153,600","1,262,495","1,494,178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2016OCT,"6,943,128","2,643,470","1,258,638","1,386,839","1,654,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2016NOV,"7,758,735","2,735,489","1,465,695","1,654,840","1,902,712",TOTAL SALES IN 2016 £000s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2016DEC,"8,788,735","3,066,755","1,643,725","1,681,566","2,396,689","80,712,674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017JAN,"6,111,319","2,432,379","998,991","1,345,463","1,334,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017FEB,"6,263,860","2,593,236","987,038","1,254,840","1,428,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2017MAR,"6,449,976","2,641,600","1,106,294","1,229,815","1,472,267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017APR,"6,851,470","2,757,348","1,216,178","1,278,397","1,599,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017MAY,"6,775,458","2,747,935","1,248,896","1,193,637","1,584,991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2017JUN,"6,819,342","2,697,648","1,296,955","1,213,805","1,610,934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017JUL,"6,932,421","2,726,518","1,299,566","1,278,859","1,627,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017AUG,"6,796,138","2,665,601","1,265,787","1,252,491","1,612,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2017SEP,"6,795,851","2,631,355","1,298,293","1,353,777","1,512,426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017OCT,"7,151,795","2,720,885","1,297,168","1,444,625","1,689,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017NOV,"8,096,162","2,817,702","1,538,142","1,738,137","2,002,181",TOTAL SALES IN 2017 £000s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2017DEC,"9,169,178","3,214,992","1,748,081","1,691,035","2,515,070","84,212,970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2018JAN,"6,366,138","2,503,257","1,036,196","1,407,540","1,419,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2018FEB,"6,517,399","2,674,748","1,034,173","1,326,458","1,482,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2018MAR,"6,797,667","2,811,937","1,145,798","1,308,309","1,531,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2018APR,"6,860,366","2,702,897","1,222,743","1,326,254","1,608,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2018MAY,"7,207,391","2,893,067","1,336,374","1,272,355","1,705,595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2018JUN,"7,125,576","2,841,899","1,347,968","1,289,976","1,645,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2018JUL,"7,304,686","2,943,331","1,358,934","1,177,650","1,824,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2018AUG,"7,128,292","2,846,376","1,335,312","1,193,984","1,752,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2018SEP,"7,075,910","2,786,637","1,300,220","1,254,876","1,734,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2018OCT,"7,379,372","2,847,893","1,323,885","1,304,820","1,902,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2018NOV,"8,424,566","2,971,159","1,552,607","1,603,154","2,297,646",TOTAL SALES IN 2018 £000s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2018DEC,"9,390,753","3,361,458","1,808,698","1,563,740","2,656,857","87,578,114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019JAN,"6,610,833","2,659,588","1,114,303","1,229,279","1,607,663",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019FEB,"6,799,616","2,832,569","1,096,512","1,158,263","1,712,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019MAR,"7,105,037","2,918,462","1,221,962","1,165,389","1,799,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019APR,"7,339,855","2,991,294","1,343,979","1,189,807","1,814,775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019MAY,"7,350,077","3,009,748","1,339,527","1,165,528","1,835,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019JUN,"7,414,516","2,981,338","1,432,422","1,159,305","1,841,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019JUL,"7,608,223","3,028,408","1,441,806","1,210,025","1,927,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019AUG,"7,336,597","2,949,950","1,392,111","1,190,844","1,803,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019SEP,"7,300,855","2,917,770","1,366,823","1,247,795","1,768,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019OCT,"7,607,585","2,957,277","1,430,216","1,316,028","1,904,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019NOV,"8,389,137","3,059,187","1,586,537","1,572,966","2,170,447",TOTAL SALES IN 2019 £000s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019DEC,"9,693,817","3,439,195","1,891,633","1,722,089","2,640,901","90,556,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2020JAN,"6,857,986","2,798,087","1,214,694","1,265,243","1,579,962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020FEB,"6,944,999","2,950,416","1,111,985","1,219,468","1,663,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2020MAR,"6,905,120","3,303,297","807,902","1,248,775","1,545,146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020APR,"5,970,379","3,232,244","587,534","1,014,758","1,135,843",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020MAY,"6,711,128","3,343,705","710,917","1,225,815","1,430,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2020JUN,"7,536,913","3,319,908","1,046,172","1,420,979","1,749,854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020JUL,"7,825,998","3,202,673","1,181,574","1,480,737","1,961,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020AUG,"7,647,916","3,152,550","1,171,743","1,474,928","1,848,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2020SEP,"7,713,434","3,102,362","1,203,668","1,517,750","1,889,654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020OCT,"8,261,798","3,157,050","1,281,044","1,719,518","2,104,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020NOV,"9,004,036","3,385,752","1,263,810","2,028,737","2,325,737",TOTAL SALES IN 2020 £000s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2020DEC,"9,677,238","3,570,965","1,665,495","1,843,249","2,597,528","91,056,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021JAN,"6,703,113","3,035,287","826,366","1,374,232","1,467,229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021FEB,"6,893,670","3,208,381","771,184","1,399,503","1,514,603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021MAR,"7,528,422","3,409,480","898,513","1,457,167","1,763,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021APR,"8,056,557","3,256,550","1,337,658","1,563,983","1,898,366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021MAY,"8,140,670","3,249,338","1,324,652","1,557,042","2,009,638",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021JUN,"8,187,117","3,308,461","1,326,643","1,483,023","2,068,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021JUL,"8,045,178","3,256,574","1,317,126","1,476,795","1,994,683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021AUG,"7,805,718","3,128,039","1,327,722","1,429,515","1,920,443",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021SEP,"7,748,019","3,103,800","1,321,531","1,410,910","1,911,778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021OCT,"8,337,134","3,223,692","1,421,428","1,558,717","2,133,297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021NOV,"9,460,446","3,382,731","1,657,950","1,915,791","2,503,975",TOTAL SALES IN 2021 £000s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021DEC,"10,046,658","3,764,217","1,769,450","1,770,320","2,742,672","96,952,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022JAN,"7,536,956","2,937,254","1,208,939","1,520,041","1,870,722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022FEB,"7,630,263","3,089,629","1,253,707","1,414,256","1,872,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022MAR,"7,957,873","3,162,982","1,277,284","1,450,356","2,067,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022APR,"8,226,140","3,282,710","1,486,874","1,468,255","1,988,301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022MAY,"8,254,110","3,336,616","1,519,277","1,373,185","2,025,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022JUN,"8,268,953","3,418,978","1,512,060","1,330,295","2,007,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022JUL,"8,467,826","3,497,904","1,504,136","1,406,632","2,059,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022AUG,"8,065,837","3,412,311","1,402,722","1,333,344","1,917,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022SEP,"8,011,827","3,308,299","1,422,803","1,381,542","1,899,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022OCT,"8,661,449","3,437,240","1,542,129","1,497,121","2,184,958",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022NOV,"9,722,510","3,634,161","1,755,895","1,876,465","2,455,989",TOTAL SALES IN 2022 £000s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022DEC,"10,501,385","4,058,270","2,009,289","1,707,819","2,726,007","101,305,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023JAN,"7,758,201","3,279,076","1,278,068","1,421,548","1,779,510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023FEB,"8,072,625","3,543,126","1,262,759","1,357,387","1,909,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023MAR,"8,344,642","3,625,458","1,350,441","1,389,296","1,979,447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023APR,"8,687,178","3,726,463","1,496,543","1,437,704","2,026,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023MAY,"8,860,447","3,786,651","1,581,498","1,409,777","2,082,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023JUN,"8,849,963","3,794,367","1,597,728","1,387,235","2,070,634",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023JUL,"8,855,265","3,743,066","1,520,523","1,448,598","2,143,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023AUG,"8,578,775","3,686,010","1,471,665","1,406,646","2,014,454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
