index,value
1991 Jan,30.57
1991 Feb,32.06
1991 Mar,33.58
1991 Apr,34.89
1991 May,34.21
1991 Jun,36.77
1991 Jul,37.25
1991 Aug,38.73
1991 Sep,32.54
1991 Oct,34.29
1991 Nov,32.28
1991 Dec,34.29
1992 Jan,29.81
1992 Feb,31.59
1992 Mar,34.74
1992 Apr,33.74
1992 May,34.42
1992 Jun,40.61
1992 Jul,42.74
1992 Aug,43.74
1992 Sep,36.24
1992 Oct,35.02
1992 Nov,34.12
1992 Dec,33.79
1993 Jan,31.31
1993 Feb,33.82
1993 Mar,36.59
1993 Apr,37.32
1993 May,36.62
1993 Jun,39.34
1993 Jul,39.92
1993 Aug,40.97
1993 Sep,36.62
1993 Oct,38.19
1993 Nov,37.15
1993 Dec,36.3
1994 Jan,32.98
1994 Feb,36.23
1994 Mar,40.84
1994 Apr,39.87
1994 May,39.97
1994 Jun,43.15
1994 Jul,44.07
1994 Aug,44.43
1994 Sep,39.66
1994 Oct,41.05
1994 Nov,40.6
1994 Dec,39.48
1995 Jan,36.43
1995 Feb,38.77
1995 Mar,42.64
1995 Apr,42.19
1995 May,41.16
1995 Jun,44.83
1995 Jul,44.28
1995 Aug,45.61
1995 Sep,39.87
1995 Oct,41.86
1995 Nov,41.57
1995 Dec,40.4
1996 Jan,37.17
1996 Feb,41.92
1996 Mar,46.55
1996 Apr,45.1
1996 May,44.46
1996 Jun,47.47
1996 Jul,47
1996 Aug,48.37
1996 Sep,41.76
1996 Oct,44.38
1996 Nov,41.25
1996 Dec,43.97
1997 Jan,39.95
1997 Feb,43
1997 Mar,48.02
1997 Apr,45.89
1997 May,45.47
1997 Jun,48.83
1997 Jul,49.24
1997 Aug,49.53
1997 Sep,42.79
1997 Oct,44.97
1997 Nov,43.6
1997 Dec,44.05
1998 Jan,39.21
1998 Feb,43.46
1998 Mar,47.77
1998 Apr,48.41
1998 May,47.05
1998 Jun,50.52
1998 Jul,49.88
1998 Aug,50.26
1998 Sep,43.8
1998 Oct,46.72
1998 Nov,45.95
1998 Dec,45.37
1999 Jan,40.88
1999 Feb,44.99
1999 Mar,49.85
1999 Apr,49.69
1999 May,47.9
1999 Jun,52.24
1999 Jul,53.45
1999 Aug,52.02
1999 Sep,45.89
1999 Oct,49.14
1999 Nov,49
1999 Dec,45.81
2000 Jan,41.37
2000 Feb,46.47
2000 Mar,52.86
2000 Apr,51.68
2000 May,51.98
2000 Jun,56.12
2000 Jul,55.41
2000 Aug,54.38
2000 Sep,47.74
2000 Oct,50.53
2000 Nov,50.93
2000 Dec,46.69
2001 Jan,43.83
2001 Feb,47.56
2001 Mar,52.82
2001 Apr,52.1
2001 May,50.72
2001 Jun,54.89
2001 Jul,55.5
2001 Aug,56.14
2001 Sep,31.41
2001 Oct,39.82
2001 Nov,41.5
2001 Dec,40.45
2002 Jan,38.13
2002 Feb,42.43
2002 Mar,48.05
2002 Apr,46.48
2002 May,46.58
2002 Jun,50.29
